alias_address,alias_city,data_report,url_report
Territorio,Campagna Lupia,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/campagnalupia1.pdf
Territorio,Campolongo Maggiore,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/campolongo_maggiore1.pdf
Territorio,Camponogara,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/camponogara1.pdf
Territorio,Caorle,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/caorle1.pdf
Territorio,Cavallino Treporti,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/cavallino_treporti1.pdf
Territorio,Ceggia,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/dati-acqua-potabile-2018-06-ceggia.pdf
Territorio,Cessalto,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/dati-acqua-potabile-2018-06-cessalto.pdf
Territorio,Chioggia,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/chioggia1.pdf
Territorio,Dolo,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/dolo1.pdf
Territorio,Eraclea,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/eraclea1.pdf
Territorio,Fiesso d'Artico,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/fiesso_dartico1.pdf
Territorio,Fossalta di Piave,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/dati-acqua-potabile-2018-06-fossalta-di-piave.pdf
Territorio,Fossò,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/fosso1.pdf
Territorio,Jesolo,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/jesolo1.pdf
Territorio,Martellago,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/martellago1.pdf
Territorio,Mira,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/mira1.pdf
Territorio,Mirano,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/mirano1.pdf
Territorio,Mogliano Veneto,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/mogliano_veneto1.pdf
Territorio,Musile di Piave,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/musile_di_piave1.pdf
Territorio,Noale,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/noale1.pdf
Territorio,Noventa di Piave,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/dati-acqua-potabile-2018-06-noventa-di-piave.pdf
Territorio,Pianiga,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/pianiga1.pdf
Territorio,Preganziol,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/preganziol1.pdf
Territorio,Quinto di Treviso,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/quinto_di_treviso1.pdf
Territorio,Salzano,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/salzano1.pdf
Territorio,San Donà di Piave,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/san_dona_di_piave1.pdf
Territorio,Santa Maria di Sala,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/santa_maria_di_sala1.pdf
Territorio,Scorzè,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/scorze1.pdf
Territorio,Spinea,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/spinea1.pdf
Territorio,Stra,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/stra1.pdf
Territorio,Torre di Mosto,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/torre_di_mosto1.pdf
Territorio,Venezia centro storico e isole,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/venezia_centro_storico1.pdf
Territorio,Lido di Venezia e Pellestrina,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/venezia_pellestrina_e_lido1.pdf
Territorio,Terraferma di Venezia,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/venezia_terraferma1.pdf
Territorio,Vigonovo,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/allegati/vigonovo1.pdf
Territorio,Zenson di Piave,gennaio-giugno 2019,https://www.gruppoveritas.it/sites/default/files/documenti/comuni_profilati/dati-acqua-potabile-2018-06-zenson-di-piave.pdf
