alias_address,alias_city,geocode,geometry,georeferencingString
FRAZIONE FREGONA,CANALE D'AGORDO,"Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9058946, 46.3689088]}",CANALE D'AGORDO  FREGONA
LOCALITA' CARFON,CANALE D'AGORDO,"Carfon, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.921652221659768, 46.3668127]}",CANALE D'AGORDO  CARFON
LOCALITA' COLMEAN,CANALE D'AGORDO,"Colmean, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.89179646443055, 46.3773113]}",CANALE D'AGORDO  COLMEAN
LOCALITA' GARES,CANALE D'AGORDO,"Gares, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8814448, 46.3126645]}",CANALE D'AGORDO  GARES
LOCALITA' LA MORA,CANALE D'AGORDO,"La Mora, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.901134, 46.3636541]}",CANALE D'AGORDO  LA MORA
LOCALITA' LAGAZZON,CANALE D'AGORDO,"Rifugio Lagazzon, Via Fregona, Vallada Agordina, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.910301225611853, 46.38072645]}",CANALE D'AGORDO  LAGAZZON
LOCALITA' PISOLIVA,CANALE D'AGORDO,"Pisoliva, La Mora, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8982529, 46.366186]}",CANALE D'AGORDO  PISOLIVA
LOCALITA' TEGOSA,CANALE D'AGORDO,"Torrente Tegosa, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9055454, 46.376642]}",CANALE D'AGORDO  TEGOSA
LOCALITA' VAL,CANALE D'AGORDO,"Val della Pissa, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9258486, 46.3533441]}",CANALE D'AGORDO  VAL
PIAZZA PAPA LUCIANI,CANALE D'AGORDO,"Piazza Papa Luciani, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.914493, 46.3606796]}",CANALE D'AGORDO PIAZZA PAPA LUCIANI
VIA 20 AGOSTO,CANALE D'AGORDO,"Via 20 Agosto, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9140749, 46.3574175]}",CANALE D'AGORDO VIA 20 AGOSTO
VIA AL FORN,CANALE D'AGORDO,"Via al Forn, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9144375, 46.3613708]}",CANALE D'AGORDO VIA AL FORN
VIA CAVALLERA,CANALE D'AGORDO,"Via Cavallera, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9133881, 46.3612472]}",CANALE D'AGORDO VIA CAVALLERA
VIA FREGONA,CANALE D'AGORDO,"Via Fregona, Vallada Agordina, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9081188, 46.3755722]}",CANALE D'AGORDO VIA FREGONA
VIA LOTTA,CANALE D'AGORDO,"Via Lotta, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.915711, 46.3581669]}",CANALE D'AGORDO VIA LOTTA
VIA MEZZAVILLA,CANALE D'AGORDO,"Via Mezzavilla, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9144929, 46.3569644]}",CANALE D'AGORDO VIA MEZZAVILLA
VIA MONSIGNOR A. BRAMEZZA,CANALE D'AGORDO,"Via Monsignor Bramezza, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9143971, 46.3613748]}",CANALE D'AGORDO VIA MONSIGNOR A. BRAMEZZA
VIA PRADE,CANALE D'AGORDO,"Via Prade, La Mora, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9145367, 46.3543206]}",CANALE D'AGORDO VIA PRADE
VIA RIVIDELLA,CANALE D'AGORDO,"Via Rividella, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9137392, 46.3574392]}",CANALE D'AGORDO VIA RIVIDELLA
VIA ROMA,CANALE D'AGORDO,"Via Roma, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9151548, 46.3585813]}",CANALE D'AGORDO VIA ROMA
VIA SOIA,CANALE D'AGORDO,"Via Soia, Fregona, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9181274, 46.3587089]}",CANALE D'AGORDO VIA SOIA
VIA SOMMAVILLA,CANALE D'AGORDO,"Via Sommavilla, La Mora, Canale d'Agordo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9140189, 46.3553562]}",CANALE D'AGORDO VIA SOMMAVILLA
LOCALITA' CHIOIT,CENCENIGHE AGORDINO,"Chioit, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9544682, 46.3470977]}",CENCENIGHE AGORDINO  CHIOIT
PIAZZA IV NOVEMBRE,CENCENIGHE AGORDINO,"Piazza IV Novembre, Balestier, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9668985, 46.3525936]}",CENCENIGHE AGORDINO PIAZZA IV NOVEMBRE
PIAZZA VECCHIA,CENCENIGHE AGORDINO,"Piazza Vecchia, Balestier, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9673704, 46.3527356]}",CENCENIGHE AGORDINO PIAZZA VECCHIA
VIA ATTILIO TISSI,CENCENIGHE AGORDINO,"Via Attilio Tissi, Pascol, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.970554, 46.3477368]}",CENCENIGHE AGORDINO VIA ATTILIO TISSI
VIA BALESTIER,CENCENIGHE AGORDINO,"Via Balestier, Balestier, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9696627, 46.3579315]}",CENCENIGHE AGORDINO VIA BALESTIER
VIA BASTIANI,CENCENIGHE AGORDINO,"Via Bastiani, Bastiani, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9773346, 46.3579041]}",CENCENIGHE AGORDINO VIA BASTIANI
VIA BOGO,CENCENIGHE AGORDINO,"Via Bogo, Bogo, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9570001, 46.3462392]}",CENCENIGHE AGORDINO VIA BOGO
VIA CAMPO,CENCENIGHE AGORDINO,"Via Campo, Col da Campo, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9743547, 46.3449965]}",CENCENIGHE AGORDINO VIA CAMPO
VIA CAVARZAN,CENCENIGHE AGORDINO,"Cavarzan, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9617822, 46.3524444]}",CENCENIGHE AGORDINO VIA CAVARZAN
VIA CHENET,CENCENIGHE AGORDINO,"Via Chenet, Chenet, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9765139, 46.3553347]}",CENCENIGHE AGORDINO VIA CHENET
VIA CHIOIPE,CENCENIGHE AGORDINO,"Via Chioipe, Balestier, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.970267, 46.3547905]}",CENCENIGHE AGORDINO VIA CHIOIPE
VIA COLLAZ,CENCENIGHE AGORDINO,"Via Collaz, Collaz, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.979072, 46.3598184]}",CENCENIGHE AGORDINO VIA COLLAZ
VIA DANTE ALIGHIERI,CENCENIGHE AGORDINO,"Via Dante Alighieri, Palù, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9687275, 46.3514395]}",CENCENIGHE AGORDINO VIA DANTE ALIGHIERI
VIA FOCH,CENCENIGHE AGORDINO,"Via Foch, Foch, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9740489, 46.3516284]}",CENCENIGHE AGORDINO VIA FOCH
VIA GHIRLO,CENCENIGHE AGORDINO,"Via Ghirlo, Ghirlo, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9759825, 46.3426807]}",CENCENIGHE AGORDINO VIA GHIRLO
VIA GIORDANO SOPPELSA,CENCENIGHE AGORDINO,"Via Giordano Soppelsa, Vare Basse, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9731851, 46.3425968]}",CENCENIGHE AGORDINO VIA GIORDANO SOPPELSA
VIA GIOVANNI DE BIASIO,CENCENIGHE AGORDINO,"Via Giovanni De Biasio, Pascol, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9696179, 46.3456131]}",CENCENIGHE AGORDINO VIA GIOVANNI DE BIASIO
VIA ISIDORO SOPPELSA,CENCENIGHE AGORDINO,"Via Isidoro Soppelsa, Avoscan, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9725333, 46.3536261]}",CENCENIGHE AGORDINO VIA ISIDORO SOPPELSA
VIA LORENZON,CENCENIGHE AGORDINO,"Via Lorenzon, Lorenzon, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9746652, 46.3569677]}",CENCENIGHE AGORDINO VIA LORENZON
VIA MARIO DE BIASIO,CENCENIGHE AGORDINO,"Via Mario De Biasio, Palù, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9683929, 46.3496393]}",CENCENIGHE AGORDINO VIA MARIO DE BIASIO
VIA MARTIN,CENCENIGHE AGORDINO,"Via Martin, Martin, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9613594, 46.3477664]}",CENCENIGHE AGORDINO VIA MARTIN
VIA MORBIACH,CENCENIGHE AGORDINO,"Morbiach, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9777691, 46.3403025]}",CENCENIGHE AGORDINO VIA MORBIACH
VIA PENNSYLVANIA,CENCENIGHE AGORDINO,"Via Pennsylvania, Palù, Cencenighe Agordino, Belluno, Veneto, 32020, Italia","{'type': 'Point', 'coordinates': [11.9675137, 46.3490633]}",CENCENIGHE AGORDINO VIA PENNSYLVANIA
P.ZZA A.FERRARI,CESIOMAGGIORE,"Piazza A. Ferrari, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9889327, 46.0883276]}",CESIOMAGGIORE P.ZZA A.FERRARI
P.ZZA COMMERCIO,CESIOMAGGIORE,"Piazza Commercio, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.987661866862021, 46.0864454]}",CESIOMAGGIORE P.ZZA COMMERCIO
P.ZZA MERCATO,CESIOMAGGIORE,"Piazza Mercato, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9870217, 46.0884113]}",CESIOMAGGIORE P.ZZA MERCATO
PIAZZA ARATIBA,CESIOMAGGIORE,"Piazzale Aratiba, Pez, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9826307, 46.0403216]}",CESIOMAGGIORE PIAZZA ARATIBA
VIA ANZAVEN,CESIOMAGGIORE,"Via Anzaven, Anzaven, Cesiomaggiore, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [11.9932528, 46.067974]}",CESIOMAGGIORE VIA ANZAVEN
VIA AVE,CESIOMAGGIORE,"Via Avenue, Montagne, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9527073, 46.087109]}",CESIOMAGGIORE VIA AVE
VIA BATTAGLION SPLUGA,CESIOMAGGIORE,"Via Battaglion Spluga, Soranzen, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9496222, 46.0744857]}",CESIOMAGGIORE VIA BATTAGLION SPLUGA
VIA BOSCHI DI PEZ,CESIOMAGGIORE,"Via Boschi di Pez, Pez, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9807102, 46.0540825]}",CESIOMAGGIORE VIA BOSCHI DI PEZ
VIA BOSIL,CESIOMAGGIORE,"Via Bosil, Marsiai, Cesiomaggiore, Belluno, Veneto, 32035, Italia","{'type': 'Point', 'coordinates': [12.0106582, 46.0855921]}",CESIOMAGGIORE VIA BOSIL
VIA BOSSANA,CESIOMAGGIORE,"Via Bossana, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.983968, 46.0924338]}",CESIOMAGGIORE VIA BOSSANA
VIA BUSA,CESIOMAGGIORE,"Via Busa, Soranzen, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9491135, 46.0760368]}",CESIOMAGGIORE VIA BUSA
VIA BUSCHE,CESIOMAGGIORE,"Via Busche, Pez, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9855917, 46.0381068]}",CESIOMAGGIORE VIA BUSCHE
VIA BUSETTE DI FIANEMA,CESIOMAGGIORE,"Via Busette di Fianema, Fianema, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9525654, 46.0588054]}",CESIOMAGGIORE VIA BUSETTE DI FIANEMA
VIA BUSETTE DI PULLIR,CESIOMAGGIORE,"Via Busette di Pullir, Menin, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9635599, 46.0520698]}",CESIOMAGGIORE VIA BUSETTE DI PULLIR
VIA CALDRERIE,CESIOMAGGIORE,"Via Caldrerie, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.979118, 46.0828982]}",CESIOMAGGIORE VIA CALDRERIE
VIA CALLIOL,CESIOMAGGIORE,"Via Calliol, Calliol, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9770576, 46.0740705]}",CESIOMAGGIORE VIA CALLIOL
VIA CAMPAGNA,CESIOMAGGIORE,"Via Campagna, Fianema, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9414209, 46.0652668]}",CESIOMAGGIORE VIA CAMPAGNA
VIA CAMPEDEI,CESIOMAGGIORE,"Via Campedei, Dorgnan, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9843696, 46.0586629]}",CESIOMAGGIORE VIA CAMPEDEI
VIA CAN,CESIOMAGGIORE,"Via Can, Can, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9651321, 46.078509]}",CESIOMAGGIORE VIA CAN
VIA CANESEL,CESIOMAGGIORE,"Via Canesel, Cesiominore, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9880489, 46.087963]}",CESIOMAGGIORE VIA CANESEL
VIA CAPITEL,CESIOMAGGIORE,"Via Capitel, Menin, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9607897, 46.0639249]}",CESIOMAGGIORE VIA CAPITEL
VIA CASETTE,CESIOMAGGIORE,"Via Casette, Fianema, Cesiomaggiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9484332, 46.0627992]}",CESIOMAGGIORE VIA CASETTE
BORGO GIUSEPPE GARIBALDI,CHIES D'ALPAGO,"Borgo Giuseppe Garibaldi, Premal, Molini, Chies d'Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3943884, 46.1645513]}",CHIES D'ALPAGO BORGO GIUSEPPE GARIBALDI
CORSO ITALIA,CHIES D'ALPAGO,"Corso Italia, Premal, Alpaos, Chies d'Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3863314, 46.1710843]}",CHIES D'ALPAGO CORSO ITALIA
LOCALITA' CAOTES,CHIES D'ALPAGO,"Via Caotes, Chies d'Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.425664, 46.150555]}",CHIES D'ALPAGO  CAOTES
VIA CIBIANA DI SOTTO,CIBIANA DI CADORE,"Cibiana di Sotto, Cibiana di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2883212, 46.3890595]}",CIBIANA DI CADORE VIA CIBIANA DI SOTTO
VIA MASARIE',CIBIANA DI CADORE,"Masarié, Cibiana di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2950114, 46.3945391]}",CIBIANA DI CADORE VIA MASARIE'
LOCALITA' SOPPAUSE,COLLE SANTA LUCIA,"Soppause, Sopradaz, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0126493, 46.4515682]}",COLLE SANTA LUCIA  SOPPAUSE
VIA BELVEDERE,COLLE SANTA LUCIA,"Belvedere, Strada Provinciale 251 della Val di Zoldo Val Cellina, Fossal, Pian, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.001891917128093, 46.4435789]}",COLLE SANTA LUCIA VIA BELVEDERE
VIA CANAZEI,COLLE SANTA LUCIA,"Canazei, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0089063, 46.4503316]}",COLLE SANTA LUCIA VIA CANAZEI
VIA CODALONGA,COLLE SANTA LUCIA,"Codalonga, Colle Santa Lucia, Belluno, Veneto, 2020, Italia","{'type': 'Point', 'coordinates': [12.0311488, 46.4546919]}",COLLE SANTA LUCIA VIA CODALONGA
VIA COLCUC,COLLE SANTA LUCIA,"Colcuc, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [11.995231, 46.4561805]}",COLLE SANTA LUCIA VIA COLCUC
VIA COLTORONT,COLLE SANTA LUCIA,"Coltoront, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0193709, 46.4502562]}",COLLE SANTA LUCIA VIA COLTORONT
VIA COSTA,COLLE SANTA LUCIA,"Costa, Sopradaz, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0137275, 46.4510545]}",COLLE SANTA LUCIA VIA COSTA
VIA COSTALTA,COLLE SANTA LUCIA,"Costalta, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0184697, 46.4540112]}",COLLE SANTA LUCIA VIA COSTALTA
VIA FOSSAL,COLLE SANTA LUCIA,"Fossal, Coltoront, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.01899, 46.451583]}",COLLE SANTA LUCIA VIA FOSSAL
VIA FURSIL,COLLE SANTA LUCIA,"Miniere del Fursil / Troi, Sentiero delle Miniere, Fossal, Costalta, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0268369, 46.4564787]}",COLLE SANTA LUCIA VIA FURSIL
VIA PALLUA,COLLE SANTA LUCIA,"Via Pallua, Pallua, Canazei, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0132335, 46.4489642]}",COLLE SANTA LUCIA VIA PALLUA
VIA PASSO GIAU,COLLE SANTA LUCIA,"Passo Giau, SP638, Frena, Colle Santa Lucia, Belluno, Veneto, 2020, Italia","{'type': 'Point', 'coordinates': [12.0532055, 46.4828423]}",COLLE SANTA LUCIA VIA PASSO GIAU
VIA PAVIA,COLLE SANTA LUCIA,"La Pavia, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0193137, 46.4498588]}",COLLE SANTA LUCIA VIA PAVIA
VIA PEZZEI,COLLE SANTA LUCIA,"Pezzei, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.01899, 46.4493432]}",COLLE SANTA LUCIA VIA PEZZEI
VIA PIAN,COLLE SANTA LUCIA,"Pian, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0230776, 46.4501749]}",COLLE SANTA LUCIA VIA PIAN
VIA PONT,COLLE SANTA LUCIA,"Pont, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0181049, 46.4528285]}",COLLE SANTA LUCIA VIA PONT
VIA POSALZ,COLLE SANTA LUCIA,"Posalz, Colle Santa Lucia, Belluno, Veneto, 2020, Italia","{'type': 'Point', 'coordinates': [12.028161, 46.4602734]}",COLLE SANTA LUCIA VIA POSALZ
VIA RIZ,COLLE SANTA LUCIA,"Cesa da Riz, 1, Via Pallua, Pallua, Canazei, Colle Santa Lucia, Belluno, Veneto, 32020, Italia",,COLLE SANTA LUCIA VIA RIZ
VIA ROVEI,COLLE SANTA LUCIA,"Rovei, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0076765, 46.441873]}",COLLE SANTA LUCIA VIA ROVEI
VIA RU',COLLE SANTA LUCIA,"Ru, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0137246, 46.4583641]}",COLLE SANTA LUCIA VIA RU'
VIA RUCAVA',COLLE SANTA LUCIA,"Rucavà, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [11.990167, 46.4546912]}",COLLE SANTA LUCIA VIA RUCAVA'
VIA SOPRADAZ,COLLE SANTA LUCIA,"Sopradaz, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0123972, 46.455386]}",COLLE SANTA LUCIA VIA SOPRADAZ
VIA TIE',COLLE SANTA LUCIA,"Tie, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0034547, 46.4470294]}",COLLE SANTA LUCIA VIA TIE'
VIA VARAZZA,COLLE SANTA LUCIA,"Varazza, Pezzei, Colle Santa Lucia, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.015471, 46.4489367]}",COLLE SANTA LUCIA VIA VARAZZA
LOCALITA' CESTELLA,COMELICO SUPERIORE,"Lago Cestella, Strada Provinciale 6 di Danta, Danta di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.490890356098937, 46.568567650000006]}",COMELICO SUPERIORE  CESTELLA
PIAZZA SAN LUCA - PADOLA,COMELICO SUPERIORE,"Stoneman Stempelstelle Padola, Piazza San Luca, Sopalù, Comelico Superiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4786468, 46.6017936]}",COMELICO SUPERIORE PIAZZA SAN LUCA - PADOLA
CORSO ITALIA,CORTINA D'AMPEZZO,"Corso Italia, Pecol, Crignes, Cortina d'Ampezzo, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.136591275723472, 46.5376251]}",CORTINA D'AMPEZZO CORSO ITALIA
FRAZIONE CADELVERZO DI SOTTO,CORTINA D'AMPEZZO,"Cadelverzo di Sotto, Verocai, Cadelverzo de Sote, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1281902, 46.5465625]}",CORTINA D'AMPEZZO  CADELVERZO DI SOTTO
FRAZIONE CAMPO DI SOPRA,CORTINA D'AMPEZZO,"Campo di Sopra, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1316728, 46.5241277]}",CORTINA D'AMPEZZO  CAMPO DI SOPRA
FRAZIONE CAMPO DI SOTTO,CORTINA D'AMPEZZO,"Campo di Sotto, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1304161, 46.5190328]}",CORTINA D'AMPEZZO  CAMPO DI SOTTO
FRAZIONE CHIAVE,CORTINA D'AMPEZZO,"Cortina d'Ampezzo, Chiave, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.13233809504095, 46.553348]}",CORTINA D'AMPEZZO  CHIAVE
FRAZIONE COL,CORTINA D'AMPEZZO,"Col, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1232013, 46.5297435]}",CORTINA D'AMPEZZO  COL
FRAZIONE LACEDEL,CORTINA D'AMPEZZO,"Lacedèl, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1219608, 46.5343596]}",CORTINA D'AMPEZZO  LACEDEL
FRAZIONE MANAIGO,CORTINA D'AMPEZZO,"Località Manaigo, Peziè, Zuel di Sotto, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1399934, 46.5185952]}",CORTINA D'AMPEZZO  MANAIGO
FRAZIONE ZUEL DI SOPRA,CORTINA D'AMPEZZO,"Zuel di Sopra, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1441954, 46.5147063]}",CORTINA D'AMPEZZO  ZUEL DI SOPRA
FRAZIONE ZUEL DI SOTTO,CORTINA D'AMPEZZO,"Zuel di Sotto, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1453451, 46.5127752]}",CORTINA D'AMPEZZO  ZUEL DI SOTTO
LOCALITA' DONEA',CORTINA D'AMPEZZO,"Donea, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1384704, 46.5264619]}",CORTINA D'AMPEZZO  DONEA'
LOCALITA' FIAMES,CORTINA D'AMPEZZO,"Fiames, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1178182, 46.5722808]}",CORTINA D'AMPEZZO  FIAMES
LOCALITA' MELERES,CORTINA D'AMPEZZO,"Melères, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1252566, 46.534028]}",CORTINA D'AMPEZZO  MELERES
LOCALITA' PECOL,CORTINA D'AMPEZZO,"Pecol, Alverà, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1462213, 46.5401547]}",CORTINA D'AMPEZZO  PECOL
LOCALITA' PEZIE',CORTINA D'AMPEZZO,"Peziè, Zuel di Sotto, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1419488, 46.5200066]}",CORTINA D'AMPEZZO  PEZIE'
LOCALITA' PIAN DA LAGO,CORTINA D'AMPEZZO,"Pian del Lago, Acquabona, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1529461, 46.5094833]}",CORTINA D'AMPEZZO  PIAN DA LAGO
LOCALITA' POCOL,CORTINA D'AMPEZZO,"Pocol, Cortina d'Ampezzo, Belluno, Veneto, 32043, Italia","{'type': 'Point', 'coordinates': [12.1203078, 46.5225445]}",CORTINA D'AMPEZZO  POCOL
